ticker,company,market
III.L,3i,UK
3IN.L,3i Infrastructure,UK
FOUR.L,4imprint,UK
BAG.L,A.G. Barr,UK
AEP.L,AEP Plantations,UK
AJB.L,AJ Bell,UK
AO.L,AO World,UK
AGT.L,AVI Global Trust,UK
AAS.L,Aberdeen Asia Focus,UK
ABDN.L,Aberdeen Group,UK
ASL.L,Aberforth Smaller Companies Trust,UK
ADM.L,Admiral Group,UK
AAF.L,Airtel Africa,UK
ALFA.L,Alfa Financial Software,UK
ALW.L,Alliance Witan,UK
ATT.L,Allianz Technology Trust,UK
AAL.L,Anglo American plc,UK
ANTO.L,Antofagasta plc,UK
APN.L,Applied Nutrition,UK
ASHM.L,Ashmore Group,UK
AIE.L,Ashoka India Equity Investment Trust,UK
ABF.L,Associated British Foods,UK
AML.L,Aston Martin Lagonda,UK
AZN.L,AstraZeneca,UK
ATYM.L,Atalaya Mining,UK
ATG.L,Auction Technology Group,UK
AUTO.L,Autotrader Group,UK
AV.L,Aviva,UK
AVON.L,Avon Technologies,UK
BME.L,B&M,UK
BA.L,BAE Systems,UK
BHMG.L,BH Macro,UK
BP.L,BP,UK
BT-A.L,BT Group,UK
BAB.L,Babcock International,UK
BGFD.L,Baillie Gifford Japan Trust,UK
USA.L,Baillie Gifford US Growth Trust,UK
BBY.L,Balfour Beatty,UK
BCG.L,Baltic Classifieds,UK
BNKR.L,Bankers Investment Trust,UK
BARC.L,Barclays,UK
BTRW.L,Barratt Redrow,UK
BEZ.L,Beazley,UK
BWY.L,Bellway,UK
BKG.L,Berkeley Group Holdings,UK
BYG.L,Big Yellow Group,UK
BPCR.L,Biopharma Credit,UK
BRGE.L,BlackRock Greater Europe Investment Trust,UK
BRSC.L,BlackRock Smaller Companies Trust,UK
BRWM.L,BlackRock World Mining Trust,UK
BMY.L,Bloomsbury Publishing,UK
BOY.L,Bodycote,UK
BREE.L,Breedon Group,UK
BPT.L,Bridgepoint Group,UK
BATS.L,British American Tobacco,UK
BLND.L,British Land,UK
BUT.L,Brunner Investment Trust,UK
BNZL.L,Bunzl,UK
BRBY.L,Burberry Group,UK
BYIT.L,Bytes Technology Group,UK
CMCX.L,CMC Markets,UK
CVSG.L,CVS Group,UK
CLDN.L,Caledonia Investments,UK
CGT.L,Capital Gearing Trust,UK
CNA.L,Centrica,UK
CWR.L,Ceres Power,UK
CHG.L,Chemring Group,UK
CSN.L,Chesnara,UK
CTY.L,City of London Investment Trust,UK
CKN.L,Clarkson,UK
CBG.L,Close Brothers Group,UK
COA.L,Coats Group,UK
CCEP.L,Coca-Cola Europacific Partners,UK
CCH.L,Coca-Cola HBC,UK
CPG.L,Compass Group,UK
CCC.L,Computacenter,UK
CTEC.L,Convatec,UK
CORD.L,Cordiant Digital Infrastructure,UK
COST.L,Costain Group,UK
CWK.L,Cranswick,UK
CRDA.L,Croda International,UK
